datetime,power_setpoint_kw,reactive_power_setpoint_kvar
2026-01-31 12:22:34,-484.96,-64.76
2026-01-31 12:23:34,-294.37,-150.52
2026-01-31 12:24:34,-103.79,-236.27
2026-01-31 12:25:34,86.79,-322.03
2026-01-31 12:26:34,277.38,-407.78
2026-01-31 12:27:34,467.96,-493.54
2026-01-31 12:28:34,524.70,-281.47
2026-01-31 12:29:34,581.45,-69.40
2026-01-31 12:30:34,638.19,142.67
2026-01-31 12:31:34,694.94,354.73
2026-01-31 12:32:34,751.68,566.80
2026-01-31 12:33:34,476.49,385.33
2026-01-31 12:34:34,201.30,203.87
2026-01-31 12:35:34,-73.89,22.40
2026-01-31 12:36:34,-349.08,-159.07
2026-01-31 12:37:34,-624.27,-340.54
2026-01-31 12:38:34,-452.87,-327.17
2026-01-31 12:39:34,-281.47,-313.80
2026-01-31 12:40:34,-110.07,-300.43
2026-01-31 12:41:34,61.33,-287.07
2026-01-31 12:42:34,232.72,-273.70
2026-01-31 12:43:34,93.97,-184.40
2026-01-31 12:44:34,-44.79,-95.11
2026-01-31 12:45:34,-183.55,-5.82
2026-01-31 12:46:34,-322.31,83.48
2026-01-31 12:47:34,-461.06,172.77
2026-01-31 12:48:34,-428.73,250.56
2026-01-31 12:49:34,-396.40,328.35
2026-01-31 12:50:34,-364.06,406.14
2026-01-31 12:51:34,0.00,0.00
